"","n","LA","sigma"
"1",10,21.359253,10.0381451469372
"2",20,19.6930963157895,7.80632398071035
"3",30,19.6877053571429,8.8598592075167
"4",40,19.3112821052632,8.36023440277331
"5",50,19.8769379166667,8.04819430634188
"6",60,19.3938090740741,7.96956142526789
"7",70,19.666959516129,8.51420690321509
"8",80,20.1673401388889,9.0423778619263
"9",90,20.067202345679,8.84575111198256
"10",100,20.1308021111111,8.71100559224519
"11",110,20.0161463265306,9.08939375679323
"12",120,19.5934762616822,8.96689920913826
"13",130,19.5248893103448,8.75333223060971
"14",140,19.39376448,8.55877486533562
"15",150,19.5006598496241,8.52687465070549
"16",160,19.8437032867133,8.66182724273106
"17",170,19.7540768627451,8.60440562838309
"18",180,19.647995398773,8.70201149067961
"19",190,19.6361926162791,8.66288049608486
"20",200,19.4023855248619,8.61986072321224
"21",210,19.3008362105263,8.54549950733333
"22",220,19.3912675757576,8.71590634710008
"23",230,19.3623468599034,8.73006814906937
"24",240,19.3012505092593,8.64260464988238
"25",250,19.2845766814159,8.56632909415691
"26",260,19.3855636480687,8.54103945101234
"27",270,19.5197309876543,8.48683757134481
"28",280,19.530943201581,8.60307931624123
"29",290,19.6389663878327,8.81036560747291
"30",300,19.4450217216117,8.8049395812773
"31",310,19.2998259285714,8.76123289401165
"32",320,19.5145576470588,8.94204353242622
"33",330,19.3464487625418,8.89758163514117
"34",340,19.3596986928105,8.93702750731927
"35",350,19.4064731012658,8.91333383891959
"36",360,19.3744101226994,8.85768610382998
"37",370,19.4151735119048,8.80100007447289
"38",380,19.5449901734104,8.84695554664606
"39",390,19.6744810393258,8.88649948675626
"40",400,19.6531980054645,8.85755845341161
"41",410,19.7920629521277,8.89840903470347
"42",420,19.7085427792208,8.86369888753889
"43",430,19.6855840561224,8.87972630014268
"44",440,19.7732968905473,8.90054855812823
"45",450,19.7544928223844,8.92955202372761
"46",460,19.622292047619,8.9062273103107
"47",470,19.561648411215,8.90033374163139
"48",480,19.6075197945205,8.94871447016026
"49",490,19.5914898883929,8.92270015739255
"50",500,19.5265981838074,8.93813853488085
